date,Cloud Computing,Artificial Intelligence,Data Science
2025-07-27,8,33,30
2025-08-03,9,43,41
2025-08-10,11,56,50
2025-08-17,12,54,51
2025-08-24,11,43,45
2025-08-31,11,46,51
2025-09-07,12,46,49
2025-09-14,13,42,46
2025-09-21,18,50,49
2025-09-28,16,54,47
2025-10-05,16,47,43
2025-10-12,15,48,41
2025-10-19,14,48,40
2025-10-26,13,44,38
2025-11-02,15,44,39
2025-11-09,16,47,42
2025-11-16,20,54,45
2025-11-23,18,54,49
2025-11-30,18,56,51
2025-12-07,18,53,46
2025-12-14,15,53,43
2025-12-21,9,37,31
2025-12-28,9,36,30
2026-01-04,11,40,36
2026-01-11,11,44,42
2026-01-18,13,50,46
2026-01-25,14,58,52
2026-02-01,18,56,50
2026-02-08,28,80,51
2026-02-15,35,80,59
2026-02-22,24,71,60
2026-03-01,15,63,48
2026-03-08,16,57,43
2026-03-15,20,75,52
2026-03-22,38,75,52
2026-03-29,38,75,56
2026-04-05,27,75,59
2026-04-12,22,75,51
2026-04-19,20,69,52
2026-04-26,24,78,61
2026-05-03,29,84,69
2026-05-10,31,89,69
2026-05-17,25,89,62
2026-05-24,23,91,63
2026-05-31,24,100,68
2026-06-07,24,91,66
2026-06-14,30,93,64
2026-06-21,30,93,68
2026-06-28,20,85,56
2026-07-05,23,80,51
2026-07-12,17,57,36
2026-07-19,18,51,33
2026-07-26,27,64,42
